type,project_cost,number_of_workers,project_result
tourism,6000000,201,Success
tourism,33800000,73,Success
education,30000000,50,Success
Information Technology,70000000,190,Success
tourism,12500000,108,Success
tourism,57800000,222,Success
tourism,40000000,122,Success
tourism,15370000,133,Success
tourism,40300000,156,Success
education,5200000,195,Success
manufacturing,500000000,134,Success
tourism,38500000,209,Success
tourism,15000000,126,Fail
education,46660000,140,Success
tourism,35300000,91,Success
finance,20000000,78,Success
tourism,150000000,153,Success
tourism,18000000,79,Success
tourism,187530000,231,Success
tourism,82000000,243,Success
tourism,10100000,142,Success
tourism,1800000,185,Success
tourism,35000000,111,Success
tourism,9780000,54,Success
tourism,4000000,196,Success
manufacturing,200000000,171,Success
tourism,179220000,159,Success
tourism,235000000,136,Success
tourism,6000000,60,Success
tourism,213000000,182,Success
tourism,65000000,213,Success
tourism,90000000,68,Success
tourism,60000000,140,Success
tourism,20000000,246,Success
tourism,5050000,179,Success
manufacturing,25000000,71,Fail
tourism,135000000,189,Success
tourism,150000000,238,Success
tourism,4200000,91,Success
education,70000000,163,Success
tourism,6780000,99,Success
education,2480000,50,Success
tourism,5000000,176,Success
tourism,4500000,232,Success
education,1084000000,124,Success
tourism,37500000,198,Success
finance,531400000,86,Success
manufacturing,150000000,89,Success
tourism,47160000,163,Success
tourism,15510000,91,Success
tourism,951000000,141,Success
tourism,17480000,150,Success
education,11000000,192,Success
tourism,200000,245,Success
Information Technology,38000000,101,Success
tourism,32250000,100,Success
tourism,112470000,192,Success
manufacturing,60640000,100,Success
tourism,63000000,92,Success
tourism,75000000,165,Success
tourism,53800000,147,Success
tourism,1140000,82,Success
tourism,127890000,112,Success
finance,57930000,160,Success
tourism,21000000,104,Fail
tourism,4400000,165,Success
tourism,33350000,205,Success
tourism,11490000,192,Success
education,104900000,75,Fail
tourism,7300000,220,Success
tourism,15000000,187,Success
tourism,150500000,162,Success
tourism,1500000,145,Success
tourism,12620000,153,Success
tourism,27200000,203,Success
tourism,3540000,129,Success
tourism,4250000,99,Success
tourism,9160000,95,Success
tourism,5000000,167,Success
tourism,178500000,154,Success
tourism,1000000,236,Success
tourism,151500000,91,Success
education,1480000,86,Success
education,66700000,221,Success
finance,15000000,127,Success
tourism,50500000,57,Success
education,49870000,224,Success
tourism,13000000,237,Success
manufacturing,65000000,209,Success
finance,157000000,52,Success
tourism,22000000,133,Success
tourism,118900000,177,Success
tourism,8000000,164,Fail
finance,390000,243,Success
tourism,5000000,155,Success
finance,3310000,70,Success
tourism,11000000,114,Success
tourism,140100000,114,Success
tourism,109700000,165,Success
tourism,20000000,96,Success
tourism,13300000,96,Success
manufacturing,65000000,74,Fail
tourism,10000000,121,Success
tourism,15000000,126,Success
tourism,40000000,99,Success
tourism,11700000,224,Success
tourism,157000000,96,Success
education,31000000,68,Success
tourism,83000000,188,Success
tourism,5370000,115,Success
tourism,15000000,193,Success
finance,3000000,134,Success
tourism,72500000,172,Success
manufacturing,45000000,243,Success
manufacturing,25000000,78,Success
tourism,10000000,212,Success
education,33570000,106,Success
manufacturing,150000000,85,Success
finance,25000000,109,Success
tourism,160000000,156,Fail
education,5250000,216,Success
tourism,10000000,109,Success
manufacturing,30000000,145,Success
education,60100000,131,Success
tourism,17240000,188,Success
finance,530000,111,Success
manufacturing,308000000,119,Success
tourism,5700000,236,Success
manufacturing,15000000,95,Success
manufacturing,70000000,89,Success
tourism,3810000,166,Success
education,735000000,237,Success
tourism,5000000,91,Success
tourism,129800000,89,Success
education,35000000,200,Success
tourism,91700000,166,Success
manufacturing,80000000,106,Success
finance,1043000000,144,Success
manufacturing,30000000,134,Success
manufacturing,40000000,222,Success
finance,25000000,230,Success
tourism,15000000,130,Success
tourism,18000000,232,Success
manufacturing,125000000,203,Success
tourism,39600000,101,Success
tourism,200000,107,Success
tourism,1210000,71,Success
tourism,225520000,231,Success
tourism,60000000,240,Success
tourism,250000000,89,Success
tourism,480000,124,Success
education,8530000,191,Success
tourism,39000000,71,Fail
education,290920000,177,Success
education,255900000,87,Success
tourism,52000000,112,Success
tourism,19000000,170,Success
tourism,250000,231,Success
tourism,28000000,158,Success
tourism,108610000,211,Success
tourism,574000000,193,Success
tourism,15000000,127,Success
tourism,200000,191,Success
tourism,120000000,212,Success
tourism,15000000,158,Success
tourism,34670000,130,Success
education,842490000,58,Success
tourism,43710000,124,Success
education,50000000,214,Success
tourism,10000000,245,Success
tourism,158000000,59,Success
tourism,275000000,170,Success
tourism,59800000,167,Success
tourism,970000,174,Success
tourism,1510000,151,Success
education,102000000,224,Success
Information Technology,590000000,120,Success
tourism,11000000,89,Fail
tourism,400000000,85,Success
tourism,62750000,90,Success
education,30000000,54,Success
finance,200000000,56,Success
education,80370000,219,Success
tourism,54980000,63,Success
tourism,80930000,223,Success
education,963000000,191,Success
Information Technology,721000000,211,Success
Information Technology,20000000,58,Fail
tourism,320000,56,Success
tourism,350000000,127,Fail
tourism,5150000,114,Success
education,3500000,175,Success
tourism,6050000,124,Success
tourism,78840000,75,Success
tourism,41000000,141,Success
tourism,270000,55,Success
tourism,214000000,236,Success
tourism,71080000,98,Success
tourism,10000,241,Success
tourism,61700000,249,Success
tourism,115000000,204,Success
tourism,47400000,235,Success
tourism,50000,185,Success
tourism,30000000,150,Fail
tourism,84500000,96,Success
tourism,120000000,53,Success
finance,4000000,59,Success
tourism,14700000,182,Success
tourism,161000000,174,Success
tourism,65870000,135,Success
tourism,73960000,183,Success
tourism,82500000,128,Success
tourism,57300000,216,Success
tourism,26200000,179,Success
education,27200000,237,Success
tourism,65030000,77,Success
education,6000000,50,Success
tourism,225000000,182,Success
tourism,10300000,85,Fail
tourism,50000000,135,Success
finance,15000000,173,Success
education,20000000,57,Success
tourism,10000000,87,Success
tourism,82000000,92,Success
tourism,50000000,195,Success
tourism,157100000,217,Success
tourism,76000000,143,Success
education,38000000,174,Fail
education,6320000,150,Fail
tourism,75000000,238,Success
tourism,28000000,229,Success
education,197200000,112,Success
finance,276000000,56,Success
tourism,281670000,191,Success
education,95700000,161,Success
education,33000000,161,Fail
tourism,69000000,176,Success
tourism,131500000,221,Success
tourism,42000000,202,Success
tourism,71000000,69,Success
manufacturing,60000000,189,Success
manufacturing,60000000,82,Success
manufacturing,60000000,87,Success
finance,5510000,69,Success
finance,1480000,80,Success
manufacturing,15000000,86,Success
tourism,40000000,68,Success
tourism,200000000,165,Success
tourism,26000000,66,Success
tourism,27530000,183,Success
finance,30000000,91,Success
manufacturing,125000000,161,Success
tourism,28190000,245,Success
tourism,8500000,195,Success
finance,100000000,51,Success
finance,6700000,114,Success
education,31800000,150,Success
tourism,27400000,141,Success
tourism,49790000,90,Success
tourism,138070000,137,Success
tourism,26200000,99,Success
education,37100000,81,Success
tourism,23400000,124,Success
tourism,980000,179,Success
tourism,148000000,73,Success
tourism,70000000,195,Success
education,3830000,184,Success
tourism,94450000,110,Success
tourism,84000000,172,Success
tourism,170000,82,Success
tourism,31800000,101,Success
tourism,24770000,215,Success
tourism,10000000,60,Success
tourism,41100000,55,Success
education,155000000,65,Fail
tourism,77900000,135,Success
education,64000000,123,Success
Information Technology,115000000,120,Success
education,72280000,58,Success
tourism,8000000,180,Success
finance,580000,156,Success
finance,40000000,190,Success
tourism,35000000,159,Fail
Information Technology,600000000,83,Fail
manufacturing,130000000,80,Success
finance,10000000,74,Success
tourism,12000000,128,Success
tourism,290000,242,Success
finance,450000,90,Success
tourism,21400000,68,Success
tourism,220000,250,Success
tourism,165000000,112,Success
tourism,39800000,197,Success
tourism,71000000,62,Success
tourism,21000000,178,Success
tourism,4640000,229,Success
tourism,15300000,51,Success
finance,1320000,211,Success
tourism,60000000,59,Fail
tourism,7200000,219,Success
tourism,5170000,64,Success
finance,1300000,174,Success
tourism,55700000,153,Success
tourism,114900000,66,Fail
tourism,1090000,81,Success
tourism,700000,112,Fail
education,6570000,245,Success
education,80000000,213,Fail
manufacturing,50000000,196,Success
tourism,20000000,67,Success
tourism,390000,62,Success
tourism,343500000,243,Success
tourism,180000,79,Success
tourism,10000000,176,Success
manufacturing,125000000,148,Success
tourism,142890000,106,Success
tourism,1350000,96,Success
tourism,40000000,83,Fail
tourism,2410000,97,Success
tourism,120000000,229,Success
education,33500000,225,Success
tourism,11600000,224,Success
tourism,3500000,105,Success
tourism,37500000,157,Success
tourism,38650000,60,Success
tourism,160000,166,Success
tourism,260000,175,Success
education,121140000,222,Success
education,5300000,100,Success
tourism,1000000,231,Fail
education,3500000,116,Success
tourism,5250000,68,Success
tourism,100000000,100,Fail
tourism,55130000,170,Success
education,83000000,68,Success
tourism,108000000,225,Success
tourism,7100000,230,Success
tourism,22200000,148,Success
tourism,4220000,191,Success
tourism,18610000,66,Success
tourism,10360000,242,Success
tourism,4830000,138,Success
tourism,12810000,148,Success
tourism,5710000,136,Success
finance,468900000,216,Success
tourism,8000000,144,Success
education,59960000,92,Success
education,78080000,65,Success
finance,150000000,95,Success
education,370000000,202,Success
tourism,95200000,173,Success
education,5360000,143,Success
manufacturing,60000000,83,Success
tourism,60000000,54,Success
finance,31600000,61,Success
tourism,15000000,157,Fail
tourism,50000000,53,Success
tourism,300000,232,Success
tourism,38200000,56,Success
education,50000000,222,Fail
tourism,12700000,115,Success
manufacturing,39960000,52,Success
tourism,29780000,162,Success
tourism,53310000,104,Success
finance,40000000,96,Success
finance,7800000,156,Success
tourism,135000000,166,Success
tourism,17900000,125,Success
tourism,70000,101,Success
tourism,11690000,236,Success
tourism,160000000,134,Fail
tourism,13000000,197,Fail
finance,50000000,63,Success
tourism,5000000,190,Success
tourism,3990000,156,Success
tourism,20000000,147,Fail
tourism,110800000,159,Success
finance,54000000,247,Success
finance,43050000,82,Success
tourism,40200000,54,Success
finance,120000000,93,Success
finance,770000,198,Success
manufacturing,408690000,216,Success
tourism,23000000,170,Success
tourism,71950000,172,Success
tourism,6800000,110,Success
tourism,58000000,191,Success
tourism,18100000,212,Success
manufacturing,10000000,173,Success
tourism,53360000,109,Success
manufacturing,199770000,212,Success
finance,3200000,167,Success
tourism,42100000,101,Success
tourism,25420000,117,Success
manufacturing,30000000,103,Success
tourism,16000000,186,Fail
education,5000000,188,Success
tourism,24620000,139,Success
tourism,4000000,115,Success
education,9600000,168,Success
tourism,9000000,92,Success
tourism,139900000,228,Success
finance,210550000,241,Success
tourism,200000000,163,Success
tourism,21000000,137,Success
tourism,22000000,216,Success
tourism,100000000,102,Success
tourism,100000000,166,Fail
tourism,20700000,164,Success
finance,100000000,137,Success
education,34400000,202,Success
manufacturing,150000000,100,Success
manufacturing,150000000,198,Success
education,133000000,63,Success
education,11000000,204,Success
tourism,39800000,71,Success
manufacturing,150000000,87,Success
manufacturing,132000000,161,Success
manufacturing,30000000,235,Success
education,32220000,75,Success
tourism,13500000,189,Success
tourism,6000000,64,Success
Information Technology,750000,200,Success
tourism,49630000,84,Success
education,144400000,139,Success
tourism,397800000,196,Success
education,260000000,202,Fail
tourism,2562910000,188,Success
manufacturing,120000000,235,Success
tourism,70950000,223,Success
tourism,40000000,131,Success
tourism,22000000,102,Fail
tourism,303000000,235,Success
tourism,2400000,206,Success
tourism,2500000,137,Success
education,15300000,137,Success
tourism,13550000,78,Success
tourism,500000,65,Success
tourism,3000000,234,Success
finance,500000,228,Success
finance,2100000,244,Success
tourism,274740000,186,Success
education,300000000,118,Success
tourism,11450000,87,Success
manufacturing,150000000,135,Success
tourism,1113000000,111,Success
education,82820000,148,Success
tourism,60000000,92,Success
tourism,15000000,69,Success
tourism,2270000,172,Success
tourism,27500000,250,Success
tourism,11610000,246,Success
tourism,15000000,238,Success
education,18000000,228,Success
tourism,10820000,132,Success
tourism,15400000,165,Success
education,88170000,209,Success
tourism,1140000,125,Success
tourism,7000000,187,Success
education,100000000,52,Success
tourism,6400000,72,Success
tourism,22300000,214,Success
tourism,7700000,218,Fail
finance,25400000,59,Success
finance,30400000,81,Success
finance,15300000,174,Success
finance,12200000,86,Success
tourism,6000000,125,Success
finance,30400000,154,Success
finance,18300000,229,Success
finance,25400000,137,Success
tourism,37670000,108,Success
tourism,6000000,115,Success
tourism,3200000,140,Success
tourism,44000000,115,Success
tourism,7350000,138,Success
finance,10000000,227,Success
tourism,170600000,114,Success
tourism,32430000,66,Success
education,25430000,119,Success
tourism,24100000,213,Success
tourism,125000000,123,Fail
education,60000000,110,Success
tourism,49850000,99,Success
tourism,10000000,60,Success
education,4000000,105,Success
tourism,48390000,106,Success
education,21000000,80,Success
tourism,7650000,64,Success
finance,150000000,188,Success
tourism,22600000,220,Success
finance,70000000,88,Success
tourism,72000000,218,Success
tourism,1410000,96,Success
education,24200000,57,Success
education,50000000,233,Success
tourism,11250000,236,Success
finance,50000000,210,Success
tourism,44860000,213,Success
tourism,33130000,225,Success
tourism,20000000,250,Success
tourism,29240000,64,Success
tourism,1000000,90,Fail
tourism,29640000,168,Success
manufacturing,45000000,197,Success
finance,75000000,232,Success
education,45000000,184,Success
tourism,27000000,237,Success
tourism,113350000,218,Success
manufacturing,20000000,96,Success
education,380860000,195,Success
education,5000000,86,Success
tourism,9810000,127,Success
education,3860000,89,Success
tourism,16700000,57,Fail
tourism,20000000,84,Success
education,27800000,93,Success
tourism,27500000,127,Success
tourism,11600000,85,Success
tourism,129000000,155,Success
finance,1500000,150,Success
finance,1200000,156,Success
tourism,26700000,104,Success
tourism,34300000,121,Success
education,23500000,216,Success
tourism,28150000,146,Success
education,5500000,157,Success
finance,49000000,210,Success
education,220000000,137,Success
finance,200000000,61,Success
education,32000000,173,Success
education,36700000,141,Success
tourism,205690000,86,Success
education,323650000,77,Success
finance,11000000,72,Success
tourism,23000000,248,Success
tourism,72000000,52,Success
tourism,469820000,139,Success
tourism,200300000,156,Success
tourism,55050000,102,Success
tourism,123830000,157,Success
tourism,55830000,176,Success
tourism,30000000,59,Success
tourism,380000,232,Success
tourism,140000000,244,Success
education,30000000,154,Success
tourism,16000000,97,Success
education,82000000,156,Success
tourism,694050000,205,Success
manufacturing,125000000,54,Success
tourism,18100000,227,Success
tourism,41770000,182,Success
tourism,48300000,173,Success
tourism,20000000,168,Fail
education,50000000,148,Success
tourism,21200000,96,Success
tourism,28740000,247,Success
tourism,23530000,96,Success
education,4910000,243,Success
tourism,32200000,159,Success
tourism,60800000,99,Success
tourism,75000000,195,Success
tourism,53300000,83,Success
tourism,39500000,153,Success
manufacturing,136000000,80,Success
finance,1100000,249,Success
tourism,60000000,214,Success
education,80000000,213,Fail
tourism,160000,90,Success
finance,20100000,199,Success
tourism,13320000,93,Success
tourism,145600000,119,Success
tourism,5500000,119,Fail
education,20200000,53,Success
tourism,5000000,195,Success
tourism,140000000,207,Fail
tourism,810000,175,Success
tourism,114500000,190,Fail
tourism,30000000,50,Success
finance,1400000,65,Success
education,52610000,90,Success
tourism,10000000,233,Success
tourism,10600000,62,Success
tourism,300000000,95,Fail
tourism,224960000,126,Success
education,96280000,70,Success
tourism,153220000,75,Success
tourism,59500000,132,Success
tourism,42640000,177,Success
tourism,18930000,154,Success
tourism,45000000,99,Success
tourism,40700000,54,Success
education,12120000,187,Success
tourism,730000,93,Success
education,6200000,95,Success
tourism,3500000,121,Success
manufacturing,21480000,65,Success
tourism,60000000,214,Fail
finance,140000,109,Success
education,5500000,147,Success
tourism,45000000,105,Success
tourism,50000000,63,Success
tourism,43600000,123,Success
education,40000000,111,Success
education,111240000,188,Success
tourism,20000000,162,Success
education,20300000,111,Fail
tourism,45000000,235,Success
tourism,112850000,122,Success
tourism,340000000,76,Success
education,124000000,52,Success
tourism,18000000,102,Success
finance,7500000,110,Success
tourism,137520000,98,Success
tourism,27000000,134,Success
tourism,81170000,92,Success
education,59700000,160,Success
tourism,14210000,202,Success
tourism,33000000,189,Success
education,71120000,214,Success
finance,30000000,60,Success
tourism,2580000,69,Success
tourism,200000,65,Success
finance,65000000,165,Success
finance,70000000,152,Success
finance,35000000,201,Success
finance,150000000,216,Success
manufacturing,22960000,155,Success
tourism,9810000,250,Success
tourism,220000,94,Success
tourism,38500000,166,Fail
tourism,75000000,201,Success
education,200190000,79,Success
tourism,305000000,213,Success
tourism,21590000,126,Success
education,3440000,166,Success
education,81520000,77,Success
finance,25000000,247,Success
tourism,130340000,111,Success
tourism,41100000,111,Success
education,99060000,137,Success
tourism,96000000,177,Success
education,7100000,102,Success
tourism,11900000,73,Fail
tourism,137760000,179,Fail
tourism,3000000,126,Fail
tourism,175000000,70,Success
tourism,49000000,199,Success
tourism,200000000,99,Fail
education,160000000,225,Fail
tourism,28100000,180,Success
tourism,125050000,152,Success
tourism,22000000,95,Success
tourism,10150000,250,Success
education,3010000,177,Success
tourism,70000000,183,Success
tourism,230000000,222,Success
education,6500000,128,Fail
education,46000000,185,Success
finance,120000000,125,Success
tourism,1800000,239,Success
tourism,61110000,175,Success
tourism,20500000,215,Success
education,165000000,80,Success
tourism,97890000,228,Success
finance,2800000,116,Success
tourism,20800000,72,Success
finance,85000000,115,Success
education,3550000,217,Success
tourism,10900000,216,Success
education,5000000,162,Success
tourism,6130000,68,Success
tourism,20000000,227,Fail
finance,120000000,55,Success
education,39830000,62,Success
education,1400000,154,Fail
tourism,26000000,104,Success
tourism,13400000,242,Success
tourism,22900000,116,Success
finance,140000,89,Success
finance,10000000,221,Success
tourism,15000000,215,Success
tourism,15000000,195,Success
tourism,230000000,177,Fail
education,2640000,222,Success
tourism,165000000,124,Success
education,10000000,160,Fail
education,350000000,206,Fail
finance,25000000,126,Success
education,50000000,91,Success
tourism,7630000,200,Success
tourism,7750000,229,Fail
tourism,30000000,93,Success
education,97000000,233,Success
tourism,13100000,163,Success
tourism,71770000,197,Success
tourism,40700000,91,Success
tourism,7350000,239,Fail
education,56000000,209,Success
finance,50000000,55,Success
tourism,30300000,72,Success
tourism,27800000,229,Success
education,26500000,209,Success
manufacturing,27000000,81,Fail
tourism,11900000,117,Fail
tourism,8200000,57,Success
education,30000000,107,Success
education,50180000,164,Success
tourism,41560000,183,Success
tourism,23700000,68,Success
tourism,1000000,118,Success
finance,800000,159,Success
education,51540000,67,Success
tourism,25600000,194,Success
finance,47150000,142,Success
tourism,21200000,198,Success
education,5510000,177,Success
tourism,35470000,166,Success
tourism,20000000,71,Success
tourism,40000000,172,Success
tourism,13600000,186,Success
tourism,750000,217,Success
tourism,750000,88,Success
tourism,2450000,197,Success
tourism,750000,50,Success
tourism,730000,116,Success
tourism,39940000,101,Success
tourism,17700000,60,Success
tourism,8500000,86,Success
education,57000000,107,Success
tourism,38000000,97,Success
tourism,20000000,127,Fail
education,8000000,126,Success
tourism,6720000,238,Success
finance,1000000,145,Success
tourism,115000000,220,Fail
tourism,12000000,57,Success
tourism,5610000,127,Success
tourism,6150000,225,Success
tourism,125370000,117,Success
education,74200000,232,Success
tourism,750000,239,Fail
education,7000000,150,Success
tourism,32200000,243,Success
tourism,12000000,128,Fail
tourism,17500000,118,Success
finance,50000000,56,Success
education,25600000,94,Success
education,5100000,196,Success
finance,10000000,156,Success
tourism,79400000,197,Success
tourism,300500000,139,Success
tourism,41200000,244,Success
tourism,40000000,85,Fail
education,16200000,133,Success
tourism,60000000,168,Success
tourism,20000000,86,Success
education,27300000,175,Success
tourism,750000,57,Success
tourism,750000,122,Success
tourism,22400000,100,Success
tourism,26000000,214,Success
tourism,164600000,98,Success
education,5520000,141,Success
tourism,12050000,107,Success
education,5400000,179,Success
tourism,32800000,233,Success
tourism,15000000,62,Success
tourism,26000000,80,Success
education,654000000,80,Success
tourism,35000000,162,Fail
tourism,5000000,202,Success
tourism,250000000,87,Success
tourism,22000000,139,Fail
finance,15000000,196,Success
tourism,214000000,185,Success
education,10440000,151,Success
education,5610000,110,Success
tourism,3500000,110,Success
tourism,15000000,75,Success
education,48000000,166,Success
tourism,16520000,98,Success
tourism,57200000,192,Success
education,2900000,219,Success
tourism,15500000,50,Success
Information Technology,425000000,131,Fail
tourism,5600000,148,Fail
tourism,85000000,193,Fail
education,5700000,127,Success
education,41300000,139,Success
education,2000000,207,Success
education,150000000,73,Success
tourism,25000000,136,Fail
education,18130000,183,Success
education,4800000,111,Fail
finance,100000000,52,Success
tourism,700000,62,Success
education,5000000,216,Success
tourism,454000000,168,Success
tourism,41120000,150,Success
finance,75000000,111,Success
finance,450000000,132,Success
tourism,45000000,228,Success
finance,1000000,222,Success
tourism,1000000,137,Success
education,4900000,124,Success
tourism,32000000,82,Success
education,88900000,57,Success
tourism,1400000,118,Success
tourism,160000000,146,Fail
tourism,27600000,75,Success
education,42400000,73,Success
tourism,40000000,231,Success
education,7400000,187,Success
education,3200000,70,Success
education,15600000,157,Success
education,26700000,98,Success
tourism,47000000,89,Success
tourism,2400000,200,Success
finance,18100000,202,Success
finance,2400000,121,Success
tourism,36600000,248,Success
tourism,400000,120,Success
finance,17500000,187,Success
finance,2600000,212,Success
tourism,120000000,177,Success
tourism,60000000,159,Success
education,10000000,87,Fail
manufacturing,120000000,90,Success
finance,50000000,231,Success
tourism,518450000,199,Success
tourism,50600000,91,Success
tourism,50000000,130,Fail
education,5700000,62,Success
education,103000000,143,Success
finance,100000000,85,Success
tourism,7400000,115,Success
tourism,9000000,162,Success
finance,64000000,56,Success
tourism,137000000,232,Success
tourism,56390000,68,Success
tourism,281700000,191,Success
education,80000000,236,Fail
education,5600000,204,Success
education,5000000,238,Success
education,48700000,225,Success
tourism,40000000,57,Fail
tourism,19260000,169,Success
tourism,85600000,101,Success
finance,180000000,93,Success
tourism,18200000,186,Success
tourism,1580000,217,Success
tourism,14000000,151,Success
tourism,25000000,227,Success
tourism,8850000,78,Success
tourism,10000000,110,Success
tourism,600000000,104,Success
education,50000000,159,Success
tourism,376600000,228,Success
education,20400000,119,Success
tourism,10000000,115,Success
tourism,65000000,162,Success
tourism,45000000,95,Fail
finance,3900000,126,Fail
tourism,290000,172,Fail
Information Technology,20000000,246,Fail
tourism,9080000,135,Fail
education,13460000,147,Fail
tourism,7930000,143,Fail
tourism,8420000,145,Fail
education,2600000,217,Fail
education,14100000,97,Fail
tourism,6000000,167,Fail
education,3000000,182,Fail
tourism,16000000,149,Fail
tourism,115000000,55,Fail
education,66000000,244,Fail
finance,40000000,88,Fail
education,20400000,74,Fail
education,5200000,217,Fail
tourism,106090000,135,Fail
Information Technology,100000000,226,Fail
education,6800000,54,Fail
tourism,44380000,216,Fail
tourism,8000000,195,Fail
tourism,56700000,121,Fail
Information Technology,20000000,220,Fail
tourism,62900000,117,Fail
tourism,100000000,146,Fail
tourism,18000000,202,Fail
tourism,20600000,149,Fail
education,5000000,96,Fail
tourism,70000000,117,Fail
tourism,30000000,204,Fail
education,206730000,166,Fail
tourism,28200000,127,Fail
tourism,5200000,194,Fail
education,22000000,119,Fail
education,16000000,93,Fail
tourism,30000000,187,Fail
tourism,20000000,214,Fail
education,22300000,240,Fail
tourism,1191000000,196,Fail
tourism,88000000,231,Fail
finance,110000000,225,Fail
education,28000000,69,Fail
education,173000000,58,Fail
tourism,200000000,50,Fail
tourism,327570000,69,Fail
finance,600000,245,Fail
tourism,100000000,82,Fail
tourism,25000000,147,Fail
tourism,60000000,215,Fail
tourism,61890000,110,Fail
tourism,250000000,81,Fail
tourism,45340000,247,Fail
education,2000000,148,Fail
tourism,86570000,170,Fail
tourism,95300000,151,Fail
manufacturing,150000000,195,Fail
tourism,69300000,71,Fail
education,28000000,50,Fail
tourism,110160000,143,Fail
education,120000000,113,Fail
manufacturing,29200000,205,Fail
tourism,50000000,238,Fail
education,8000000,127,Fail
finance,140000000,58,Fail
finance,55100000,180,Fail
tourism,40000000,109,Fail
tourism,26500000,164,Fail
education,420140000,59,Fail
tourism,115000000,138,Fail
finance,120000000,91,Fail
tourism,26000000,89,Fail
tourism,80000000,218,Fail
tourism,25000000,73,Fail
tourism,16000000,93,Fail
education,24000000,155,Fail
tourism,9000000,243,Fail
Information Technology,100000000,96,Fail
tourism,3800000,118,Fail
tourism,12500000,82,Fail
tourism,26700000,70,Fail
finance,83000000,132,Fail
tourism,16810000,167,Fail
tourism,70000000,198,Fail
tourism,140000000,189,Fail
tourism,33000000,83,Fail
tourism,7290000,140,Fail
tourism,199120000,204,Fail
tourism,15000000,193,Fail
tourism,7000000,113,Fail
tourism,1800000,129,Success
tourism,600000,199,Success
finance,7800000,142,Success
finance,150000,148,Success
finance,3400000,134,Success
finance,26600000,222,Success
tourism,3500000,83,Success
tourism,54600000,102,Success
finance,25200000,200,Success
tourism,91200000,201,Success
tourism,50000000,175,Fail
education,28900000,129,Fail
tourism,23790000,81,Success
tourism,45800000,238,Success
tourism,46000000,121,Success
tourism,10900000,185,Success
tourism,20000000,128,Fail
tourism,35000000,87,Success
tourism,136000000,164,Success
tourism,94000000,126,Success
tourism,9880000,108,Success
tourism,13300000,151,Success
manufacturing,3000000,192,Fail
manufacturing,10000000,140,Fail
tourism,11000000,103,Success
tourism,23700000,157,Success
finance,5000000,170,Fail
tourism,5000000,167,Fail
tourism,27650000,102,Success
tourism,40000000,133,Success
tourism,235000000,218,Success
tourism,5000000,150,Fail
education,926000000,204,Success
tourism,1000000,115,Fail
education,5000000,206,Fail
tourism,13400000,155,Success
tourism,5500000,86,Success
tourism,30000000,183,Success
tourism,10000000,122,Success
tourism,16300000,126,Success
manufacturing,23000000,162,Success
tourism,19600000,66,Success
tourism,19600000,241,Success
tourism,19600000,250,Success
tourism,26900000,228,Success
tourism,22600000,53,Success
tourism,28100000,201,Success
tourism,220000000,141,Success
tourism,19300000,60,Success
tourism,199600000,127,Success
tourism,119300000,132,Success
tourism,126600000,79,Success
finance,4400000,51,Success
finance,36800000,136,Success
tourism,30300000,99,Success
tourism,30000000,82,Fail
tourism,120000000,65,Success
education,5000000,165,Success
Information Technology,1600000000,225,Success
tourism,20900000,227,Success
tourism,23400000,59,Success
tourism,278400000,83,Success
tourism,10000000,74,Fail
tourism,46000000,100,Success
tourism,5000000,93,Fail
tourism,10000000,190,Success
tourism,9000000,202,Fail
tourism,21420000,95,Success
education,10000000,208,Fail
education,387000000,60,Success
tourism,70930000,58,Success
tourism,30000000,71,Fail
Information Technology,65000000,218,Fail
tourism,10000000,179,Fail
tourism,37070000,250,Success
education,20000000,93,Fail
tourism,60000000,139,Success
finance,92000000,109,Success
tourism,19800000,83,Success
finance,5000000,160,Fail
finance,20000000,230,Success
finance,30000000,178,Success
tourism,11000000,200,Success
tourism,13700000,145,Success
education,8000000,144,Fail
education,46030000,201,Success
tourism,107920000,86,Success
tourism,42310000,184,Success
tourism,40000000,238,Fail
tourism,292700000,153,Success
tourism,7200000,213,Success
tourism,20000000,161,Fail
education,219270000,230,Success
education,11000000,183,Success
tourism,16400000,166,Success
tourism,10700000,170,Success
tourism,45000000,228,Success
tourism,85000000,149,Success
finance,4800000,185,Success
tourism,73600000,181,Success
tourism,12100000,168,Success
finance,300000,80,Success
tourism,2800000,197,Success
tourism,800000,122,Success
tourism,5500000,171,Success
tourism,7300000,113,Success
tourism,120000000,118,Success
tourism,12000000,132,Success
tourism,614000000,223,Success
tourism,123600000,59,Success
tourism,20000000,182,Fail
education,80200000,60,Success
tourism,80000000,110,Success
tourism,11100000,239,Success
tourism,10000000,150,Fail
tourism,11340000,191,Fail
tourism,45000000,106,Success
tourism,25000000,218,Success
tourism,69200000,144,Success
tourism,62600000,75,Success
tourism,29600000,86,Success
tourism,21000000,102,Success
tourism,28000000,180,Success
tourism,775000000,210,Success
finance,80000000,170,Success
tourism,218300000,211,Success
tourism,15000000,234,Fail
tourism,30000000,149,Success
tourism,110000000,58,Fail
tourism,118800000,142,Success
tourism,49500000,85,Success
tourism,22500000,96,Success
finance,75000000,89,Success
tourism,4700000,169,Success
education,12000000,169,Success
tourism,5500000,183,Success
tourism,100000000,177,Success
education,139270000,250,Success
tourism,30000000,175,Fail
education,44000000,102,Success
